[2021-03-05T13:57:49.116058+00:00] log.DEBUG: SELECT `id_buku` AS `lf`, `nama_buku` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `buku` [] []
[2021-03-05T13:57:49.220088+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` WHERE `id_anggota` IN (108432) [] []
[2021-03-05T14:00:03.103832+00:00] log.DEBUG: SELECT `id_buku` AS `lf`, `nama_buku` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `buku` [] []
[2021-03-05T14:00:03.198227+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` WHERE `id_anggota` IN (141261) [] []
[2021-03-05T14:02:30.191232+00:00] log.DEBUG: SELECT `id_buku` AS `lf`, `nama_buku` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `buku` [] []
[2021-03-05T14:02:30.310020+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` WHERE `id_anggota` IN (173933) [] []
[2021-03-05T14:04:07.270624+00:00] log.DEBUG: SELECT `id_buku` AS `lf`, `nama_buku` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `buku` [] []
[2021-03-05T14:04:07.372955+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` WHERE `id_anggota` IN (178383) [] []
[2021-03-05T14:04:30.151159+00:00] log.DEBUG: SELECT `id_buku` AS `lf`, `nama_buku` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `buku` [] []
[2021-03-05T14:04:30.232310+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` WHERE `id_anggota` IN (189333) [] []
[2021-03-05T14:07:07.754909+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` WHERE `id_anggota` IN (171177) [] []
